	Match	Coverage	Identity	E-val	Entry	Protein names	Gene	Length	ExpAA	First60	PredHel	Topology
lcl|NC_007205.1_prot_WP_006996826.1_1068	WP_000091945	1.0	0.3854748603351955	9.95587e-39	P0AG55	50S ribosomal protein L6	rplF	179	0.04	0.0	0	o
lcl|NC_007205.1_prot_WP_006996828.1_1066	WP_000940121	0.9882352941176471	0.44047619047619047	1.56195e-45	P0A7W1	30S ribosomal protein S5	rpsE	170	0.27	0.26	0	o
lcl|NC_007205.1_prot_WP_006996829.1_1065	WP_001238914	0.9607843137254902	0.43537414965986393	1.47725e-25	P02413	50S ribosomal protein L15	rplO	153	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006996831.1_1063	WP_001220233	0.9906103286384976	0.3412322274881517	2.68908e-35	P69441	Adenylate kinase (AK) (EC 2.7.4.3) (ATP-AMP transphosphorylase) (ATP:AMP phosphotransferase) (Adenylate monophosphate kinase)	adk	213	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996832.1_1062	WP_000090775	0.8818897637795275	0.5625	1.89823e-37	P0A7S9	30S ribosomal protein S13	rpsM	127	0.23	0.23	0	o
lcl|NC_007205.1_prot_WP_006996833.1_1061	WP_001029684	0.8466666666666667	0.5511811023622047	1.24221e-52	P0A7R9	30S ribosomal protein S11	rpsK	150	0.93	0.91	0	i
lcl|NC_007205.1_prot_WP_006996834.1_1060	WP_001162094	0.935672514619883	0.48125	3.19781e-102	P0A7Z4	DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)	rpoA	342	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006996835.1_1059	WP_001216368	0.8482758620689655	0.45528455284552843	7.44848e-35	P0AG44	50S ribosomal protein L17	rplQ	145	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996836.1_1058	WP_000079100	0.944078947368421	0.23344947735191637	3.13025e-13	P33643	Ribosomal large subunit pseudouridine synthase D (EC 5.4.99.23) (23S rRNA pseudouridine(1911/1915/1917) synthase) (rRNA pseudouridylate synthase D) (rRNA-uridine isomerase D)	rluD	304	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996837.1_1057	WP_000284027	0.7621359223300971	0.3375796178343949	1.6178e-35	P60720	Octanoyltransferase (EC 2.3.1.181) (Lipoate-protein ligase B) (Lipoyl/octanoyl transferase) (Octanoyl-[acyl-carrier-protein]-protein N-octanoyltransferase)	lipB	206	0.08	0.0	0	o
lcl|NC_007205.1_prot_WP_006996845.1_1049	WP_001272796	0.9424083769633508	0.38333333333333336	1.55256e-34	P60782	Probable glycerol-3-phosphate acyltransferase (G3P acyltransferase) (GPAT) (EC 2.3.1.15) (EC 2.3.1.n5) (Lysophosphatidic acid synthase) (LPA synthase)	plsY	191	103.75	29.51	4	i5-27o78-96i108-130o150-172i
lcl|NC_007205.1_prot_WP_006996847.1_1047	WP_000013046	0.9584664536741214	0.36	2.30975e-39	P0A786	Aspartate carbamoyltransferase catalytic chain (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)	pyrB	313	0.28	0.0	0	o
lcl|NC_007205.1_prot_WP_006996848.1_1046	WP_000017106	0.8410596026490066	0.2992125984251969	3.50824e-09	P0A8I1	Putative pre-16S rRNA nuclease (EC 3.1.-.-)	yqgF	151	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996854.1_1040	WP_000250274	0.09649122807017543	0.3409090909090909	9.51257	P67153	UPF0073 inner membrane protein YqfA	yqfA	456	262.11	19.43	12	i19-41o56-78i90-112o138-160i167-189o193-215i244-266o286-308i321-343o353-375i388-410o420-442i
lcl|NC_007205.1_prot_WP_006996857.1_1037	WP_001158220	0.8536585365853658	0.3619047619047619	8.14141e-36	P0AFT2	L-cystine transport system permease protein YecS	yecS	246	121.93	34.84	6	i5-27o47-69i76-98o102-124i172-194o214-233i
lcl|NC_007205.1_prot_WP_006996860.1_1034	WP_000272486	0.059880239520958084	0.26666666666666666	0.00078869	P37747	UDP-galactopyranose mutase (UGM) (EC 5.4.99.9) (UDP-GALP mutase) (Uridine 5-diphosphate galactopyranose mutase)	glf	1002	1.18	0.7	0	o
lcl|NC_007205.1_prot_WP_006996862.1_1032	WP_001266908	0.7793764988009593	0.2	2.81684e-09	P0A6J5	D-amino acid dehydrogenase (EC 1.4.99.-) (D-alanine dehydrogenase)	dadA	417	0.99	0.88	0	o
lcl|NC_007205.1_prot_WP_006996864.1_1030	WP_001311023	1.0	0.4641638225255973	3.60744e-86	P0A6L2	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	dapA	293	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996865.1_1029	WP_000162574	0.9487179487179487	0.46621621621621623	2.58142e-41	P0A832	SsrA-binding protein (Small protein B)	smpB	156	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006996867.1_1027	WP_000280488	0.8055077452667814	0.4166666666666667	9.42667e-128	P0AG24	Bifunctional (p)ppGpp synthase/hydrolase SpoT [Includes: GTP pyrophosphokinase (EC 2.7.6.5) ((p)ppGpp synthase) (ATP:GTP 3'-pyrophosphotransferase) (Stringent response-like protein) (ppGpp synthase II); Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)]	spoT	581	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996869.1_1025	WP_001297412	0.9748953974895398	0.4206008583690987	1.70039e-65	P0A794	Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)	pdxJ	239	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996870.1_1024	WP_000986023	0.984375	0.38095238095238093	1.25071e-22	P24224	Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)	acpS	128	0.03	0.0	0	o
lcl|NC_007205.1_prot_WP_006996871.1_1023	WP_000002541	0.9467213114754098	0.38961038961038963	7.33497e-33	P00803	Signal peptidase I (SPase I) (EC 3.4.21.89) (Leader peptidase I)	lepB	244	22.25	22.14	1	i13-35o
lcl|NC_007205.1_prot_WP_006996872.1_1022	WP_001068343	0.9099099099099099	0.33663366336633666	1.14244e-27	P0A7Y0	Ribonuclease 3 (EC 3.1.26.3) (Ribonuclease III) (RNase III)	rnc	222	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006996873.1_1021	WP_001298719	0.24778761061946902	0.19642857142857142	9.19031	P27298	Oligopeptidase A (EC 3.4.24.70)	prlC	226	0.04	0.03	0	o
lcl|NC_007205.1_prot_WP_006996874.1_1020	WP_001295337	0.9483282674772037	0.4326923076923077	2.55756e-74	P0ACB2	Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)	hemB	329	0.02	0.01	0	o
lcl|NC_007205.1_prot_WP_006996876.1_1018	WP_000716794	1.0	0.41843971631205673	6.43417e-38	P37351	Ribose-5-phosphate isomerase B (EC 5.3.1.6) (Phosphoriboisomerase B)	rpiB	141	1.02	0.11	0	o
lcl|NC_007205.1_prot_WP_006996878.1_1016	WP_000543535	0.9671052631578947	0.42857142857142855	1.21029e-34	P0A8D0	Transcriptional repressor NrdR	nrdR	152	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996881.1_1013	WP_001076997	0.5519125683060109	0.41089108910891087	1.43494e-57	P0A7J0	3,4-dihydroxy-2-butanone 4-phosphate synthase (DHBP synthase) (EC 4.1.99.12)	ribB	366	0.03	0.02	0	o
lcl|NC_007205.1_prot_WP_006996882.1_1012	WP_001021161	0.96875	0.3467741935483871	1.15102e-18	P61714	6,7-dimethyl-8-ribityllumazine synthase (DMRL synthase) (LS) (Lumazine synthase) (EC 2.5.1.78)	ribE	128	0.08	0.05	0	o
lcl|NC_007205.1_prot_WP_006996887.1_1007	WP_001096049	0.23870967741935484	0.3783783783783784	0.530302	P17952	UDP-N-acetylmuramate--L-alanine ligase (EC 6.3.2.8) (UDP-N-acetylmuramoyl-L-alanine synthetase)	murC	155	8.6	8.59	0	o
lcl|NC_007205.1_prot_WP_006996892.1_1002	WP_001034469	0.20634920634920634	0.6153846153846154	6.92609	P0CK95	Putative lipoprotein AcfD homolog	yghJ	63	0.0	0.0	0	i
lcl|NC_007205.1_prot_WP_006996895.1_999	WP_001295694	0.9819004524886877	0.271889400921659	1.79954e-43	P00935	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB	442	0.27	0.0	0	o
lcl|NC_007205.1_prot_WP_006996896.1_998	WP_000847559	0.869281045751634	0.45864661654135336	5.01977e-41	P0AA10	50S ribosomal protein L13	rplM	153	0.19	0.19	0	o
lcl|NC_007205.1_prot_WP_006996897.1_997	WP_000829818	0.8590604026845637	0.453125	9.19013e-36	P0A7X3	30S ribosomal protein S9	rpsI	149	0.07	0.0	0	o
lcl|NC_007205.1_prot_WP_006996915.1_975	WP_000681354	0.9615384615384616	0.4613333333333333	1.46824e-102	P13738	Na(+)/H(+) antiporter NhaA (Sodium/proton antiporter NhaA)	nhaA	390	237.2	23.11	11	o20-42i61-83o98-120i127-149o159-181i183-201o216-238i258-280o295-317i330-352o367-386i
lcl|NC_007205.1_prot_WP_006996939.1_951	WP_000007629	0.7659574468085106	0.4027777777777778	4.22245e-16	P0ADZ7	UPF0092 membrane protein YajC	yajC	94	19.56	19.56	1	o4-23i
lcl|NC_007205.1_prot_WP_006996941.1_949	WP_000109943	0.9330708661417323	0.38396624472573837	2.39378e-52	P69423	Sec-independent protein translocase protein TatC	tatC	254	127.52	21.89	6	i21-43o78-100i112-134o171-193i205-219o223-245i
lcl|NC_007205.1_prot_WP_006996942.1_948	WP_000459594	0.6438356164383562	0.3404255319148936	1.0829e-07	P69425	Sec-independent protein translocase protein TatB	tatB	73	18.33	18.33	1	o4-21i
lcl|NC_007205.1_prot_WP_006996943.1_947	WP_001295260	0.8484848484848485	0.42857142857142855	3.73002e-10	P69428	Sec-independent protein translocase protein TatA	tatA	66	19.16	19.16	1	o5-22i
lcl|NC_007205.1_prot_WP_006996950.1_940	WP_001295564	0.9619047619047619	0.45544554455445546	1.0587e-25	P0ACC3	Iron-sulfur cluster insertion protein ErpA	erpA	105	0.01	0.01	0	o
lcl|NC_007205.1_prot_WP_006996953.1_937	WP_001296134	0.19696969696969696	0.5	0.198005	P76264	Probable manganese efflux pump MntP	mntP	132	63.92	29.54	3	o23-45i50-72o87-104i
lcl|NC_007205.1_prot_WP_006996954.1_936	WP_001295691	0.7416666666666667	0.30337078651685395	1.69972e-08	P0AC51	Zinc uptake regulation protein (Zinc uptake regulator)	zur	120	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996959.1_931	WP_000186369	0.07532467532467532	0.3103448275862069	8.86936	P0A769	Divalent metal cation transporter MntH	mntH	385	1.06	0.37	0	o
lcl|NC_007205.1_prot_WP_006996961.1_929	WP_000078349	0.9959016393442623	0.7119341563786008	5.60425e-137	P45769	Uncharacterized amino-acid ABC transporter ATP-binding protein YhdZ	yhdZ	244	0.03	0.0	0	o
lcl|NC_007205.1_prot_WP_006996973.1_918	WP_000600189	1.0	0.25517241379310346	9.66746e-14	P0AGL5	Ribosome association toxin RatA (Toxin RatA)	ratA	145	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006996984.1_910	WP_000963518	0.06756756756756757	0.43333333333333335	0.342712	P06959	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12) (Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex) (E2)	aceF	444	16.93	0.0	0	o
lcl|NC_007205.1_prot_WP_006996993.1_905	WP_001295556	0.6767676767676768	0.47761194029850745	3.88343e-08	P0AG99	Protein-export membrane protein SecG (P12) (Preprotein translocase band 1 subunit)	secG	99	40.4	30.44	2	i5-22o48-70i
lcl|NC_007205.1_prot_WP_006996994.1_904	WP_001216325	0.9878048780487805	0.3662551440329218	7.72577e-36	P0A858	Triosephosphate isomerase (TIM) (TPI) (EC 5.3.1.1) (Triose-phosphate isomerase)	tpiA	246	0.5	0.03	0	o
lcl|NC_007205.1_prot_WP_006997000.1_898	WP_000897378	0.5111111111111111	0.3391304347826087	1.10355e-08	P0AG11	Protein UmuD (EC 3.4.21.-) [Cleaved into: Protein UmuD']	umuD	225	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997013.1_885	WP_000818114	0.9787985865724381	0.36101083032490977	1.94774e-43	P0A6P1	Elongation factor Ts (EF-Ts) (Bacteriophage Q beta RNA-directed RNA polymerase subunit IV)	tsf	283	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997017.1_881	WP_000284714	0.9804878048780488	0.27611940298507465	3.03691e-42	P0ADC3	Lipoprotein-releasing system transmembrane protein LolC	lolC	410	93.5	23.21	4	i21-43o269-291i314-336o374-396i
lcl|NC_007205.1_prot_WP_006997027.1_871	WP_000393511	0.8095238095238095	0.32941176470588235	1.78743e-20	P0AFE0	NADH-quinone oxidoreductase subunit J (EC 1.6.5.11) (NADH dehydrogenase I subunit J) (NDH-1 subunit J) (NUO10)	nuoJ	210	107.32	46.96	5	o5-22i29-51o55-77i98-117o150-172i
lcl|NC_007205.1_prot_WP_006997028.1_870	WP_000172749	0.8198757763975155	0.4166666666666667	6.03983e-31	P0AFD6	NADH-quinone oxidoreductase subunit I (EC 1.6.5.11) (NADH dehydrogenase I subunit I) (NDH-1 subunit I) (NUO9)	nuoI	161	0.88	0.88	0	o
lcl|NC_007205.1_prot_WP_006997034.1_864	WP_001384057	0.400990099009901	0.43209876543209874	7.46709e-19	P33599	NADH-quinone oxidoreductase subunit C/D (EC 1.6.5.11) (NADH dehydrogenase I subunit C/D) (NDH-1 subunit C/D) (NUO3/NUO4)	nuoC	202	0.02	0.0	0	o
lcl|NC_007205.1_prot_WP_006997035.1_863	WP_000386733	0.861271676300578	0.5033557046979866	5.36531e-49	P0AFC7	NADH-quinone oxidoreductase subunit B (EC 1.6.5.11) (NADH dehydrogenase I subunit B) (NDH-1 subunit B) (NUO2)	nuoB	173	2.57	1.8	0	o
lcl|NC_007205.1_prot_WP_006997036.1_862	WP_000062997	0.9754098360655737	0.36134453781512604	5.7879e-23	P0AFC3	NADH-quinone oxidoreductase subunit A (EC 1.6.5.11) (NADH dehydrogenase I subunit A) (NDH-1 subunit A) (NUO1)	nuoA	122	67.72	22.82	3	o10-32i64-86o90-112i
lcl|NC_007205.1_prot_WP_006997039.1_859	WP_000122253	0.9507389162561576	0.6217616580310881	1.3766e-96	P0A6G7	ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)	clpP	203	4.05	2.07	0	o
lcl|NC_007205.1_prot_WP_006997052.1_849	WP_000279599	0.8775510204081632	0.26356589147286824	4.75476e-27	P37675	2,3-diketo-L-gulonate TRAP transporter large permease protein YiaN	yiaN	441	269.45	40.58	12	i7-25o29-51i64-86o101-123i144-166o181-203i224-246o256-275i288-307o327-361i368-390o414-436i
lcl|NC_007205.1_prot_WP_006997053.1_848	WP_000135181	0.091324200913242	0.45	2.18894	P16525	DNA replication terminus site-binding protein (Ter-binding protein)	tus	219	86.01	6.76	4	i56-78o88-110i130-149o192-214i
lcl|NC_007205.1_prot_WP_006997056.1_845	WP_000089110	0.9604743083003953	0.33127572016460904	1.09457e-81	P17445	NAD/NADP-dependent betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)	betB	506	0.41	0.0	0	o
lcl|NC_007205.1_prot_WP_006997057.1_844	WP_000517431	0.9689922480620154	0.336	5.5842e-37	P37440	Oxidoreductase UcpA (EC 1.-.-.-)	ucpA	258	0.14	0.03	0	o
lcl|NC_007205.1_prot_WP_006997058.1_843	WP_001096881	0.2246376811594203	0.3870967741935484	7.58961	P0AEP7	Glyoxylate carboligase (EC 4.1.1.47) (Tartronate-semialdehyde synthase)	gcl	138	0.2	0.0	0	i
lcl|NC_007205.1_prot_WP_006997059.1_842	WP_000211225	0.4314516129032258	0.3364485981308411	9.79824e-16	P0A9L3	FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase (FKBP22) (PPIase) (EC 5.2.1.8) (Rotamase)	fklB	248	4.56	4.56	0	o
lcl|NC_007205.1_prot_WP_006997060.1_841	WP_001159094	0.9887005649717514	0.43238095238095237	3.09291e-131	P17444	Oxygen-dependent choline dehydrogenase (CDH) (CHD) (EC 1.1.99.1) (Betaine aldehyde dehydrogenase) (BADH) (EC 1.2.1.8)	betA	531	0.07	0.04	0	o
lcl|NC_007205.1_prot_WP_006997062.1_839	WP_000603502	1.0	0.31746031746031744	1.70474e-36	P37769	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) (2-deoxy-D-gluconate 3-dehydrogenase) (2-keto-3-deoxygluconate 5-dehydrogenase) (2-keto-3-deoxygluconate oxidoreductase) (KDG oxidoreductase) (20-ketosteroid reductase) (EC 1.1.1.-)	kduD	252	6.0	2.48	0	o
lcl|NC_007205.1_prot_WP_006997071.1_830	WP_000998695	0.9839357429718876	0.2857142857142857	4.18148e-32	P0A9P9	Gluconate 5-dehydrogenase (EC 1.1.1.69) (5-keto-D-gluconate 5-reductase)	idnO	249	0.06	0.05	0	o
lcl|NC_007205.1_prot_WP_006997073.1_828	WP_001283490	0.9612794612794613	0.2521891418563923	4.25375e-27	P0AFI0	Oxalyl-CoA decarboxylase (EC 4.1.1.8)	oxc	594	2.07	1.8	0	o
lcl|NC_007205.1_prot_WP_006997074.1_827	WP_001199390	0.851063829787234	0.325	1.30417e-08	P42604	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)	uxaA	94	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997075.1_826	WP_001199390	0.9639175257731959	0.30213903743315507	1.19389e-36	P42604	Altronate dehydratase (EC 4.2.1.7) (D-altronate hydro-lyase)	uxaA	388	0.01	0.0	0	o
lcl|NC_007205.1_prot_WP_006997080.1_822	WP_000776191	0.1147011308562197	0.30985915492957744	2.17124	P0AD65	Penicillin-binding protein 2 (PBP-2)	mrdA	619	2.2	2.04	0	o
lcl|NC_007205.1_prot_WP_006997090.1_813	WP_001297484	0.954177897574124	0.3531073446327684	1.4643e-55	P25745	tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.-)	mnmA	371	0.11	0.11	0	o
lcl|NC_007205.1_prot_WP_006997102.1_804	WP_001043542	0.989010989010989	0.4444444444444444	1.43028e-21	P0ACF4	DNA-binding protein HU-beta (HU-1) (NS1)	hupB	91	0.0	0.0	0	o
lcl|NC_007205.1_prot_WP_006997105.1_801	WP_000972203	1.0	0.3686274509803922	4.18177e-60	P0AFN6	Inner membrane transport permease YadH	yadH	255	136.77	23.35	6	i27-49o62-84i105-127o140-162i169-188o225-247i
lcl|NC_007205.1_prot_WP_006997106.1_800	WP_000150637	0.977491961414791	0.4309210526315789	4.52265e-79	P36879	Uncharacterized ABC transporter ATP-binding protein YadG	yadG	311	0.07	0.06	0	o
lcl|NC_007205.1_prot_WP_006997130.1_774	WP_001070439	0.9454545454545454	0.3557692307692308	1.27648e-11	P23895	Multidrug transporter EmrE (Efflux-multidrug resistance protein EmrE) (Ethidium resistance protein) (Methyl viologen resistance protein C)	emrE	110	84.53	43.32	4	i7-24o29-51i58-80o85-107i
lcl|NC_007205.1_prot_WP_006997139.1_764	WP_000284280	0.7321428571428571	0.3463414634146341	5.06043e-36	P76004	Uncharacterized protein YcgM	ycgM	280	3.57	0.0	0	o
